USER_ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Q12S1,Q13,Q13S1,Q13S2,Q14,Q14S1,Q15,Q15S1,Q15S2,Q61,gender,age,chiiki
1506,3,3,1,3,90,40,70,5,10,1,1,15,70,20,5,1,1,1,1,1,1,1,2,NA,0,0,0,0,1,1,0,0,2,NA,NA,1,1,1,1,NA,1,1,1,4,1,72,1
1507,3,3,1,8,10,70,50,50,60,40,10,70,50,40,60,20,5,5,4,5,5,8,NA,2,1,0,0,0,0,0,0,0,2,NA,NA,1,2,2,1,NA,1,2,2,2,1,59,4
1508,3,2,1,5,0,0,0,0,100,100,0,0,0,0,100,100,5,3,5,5,5,8,NA,6,1,1,1,1,0,0,0,0,2,NA,NA,1,6,6,1,NA,1,7,5,4,2,72,8
1509,3,1,1,7,20,25,30,30,60,50,30,25,20,25,50,50,5,5,4,5,5,8,NA,8,1,1,1,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,2,2,4,1,65,13
1510,3,1,1,3,80,80,90,70,0,0,60,50,90,60,0,0,2,2,1,3,2,3,2,NA,0,0,0,0,1,1,1,0,2,NA,NA,1,1,3,2,1,1,3,3,3,1,68,28
1511,2,3,1,8,65,60,50,50,40,50,50,50,50,70,50,50,2,2,3,3,2,4,2,NA,0,0,0,0,0,0,0,1,3,NA,NA,2,NA,NA,NA,NA,1,4,4,4,1,32,4
1512,3,3,1,8,25,50,0,0,50,50,0,25,0,0,50,50,3,3,3,4,4,8,NA,5,1,0,1,1,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,2,1,61,40
1513,3,2,1,2,100,0,0,40,0,0,100,0,0,40,0,0,2,2,1,2,2,1,2,NA,0,1,1,0,1,1,1,0,2,NA,NA,1,1,1,1,NA,1,1,1,3,1,45,15
1514,3,3,1,6,60,10,55,50,60,30,60,10,10,60,60,0,3,3,3,3,3,8,NA,1,0,0,0,0,0,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,8,7,99,1,53,4
1515,3,2,1,3,20,10,20,10,40,0,0,0,0,0,0,0,3,3,3,3,3,1,2,NA,0,0,0,0,0,0,0,1,3,NA,NA,1,2,2,1,NA,1,2,1,3,2,74,40
1516,3,3,1,5,0,0,0,0,80,75,0,0,0,0,80,75,5,5,5,5,5,7,2,NA,1,1,1,1,0,0,1,0,2,NA,NA,1,6,5,2,1,1,5,6,4,1,67,14
1517,1,3,3,7,60,60,50,50,50,50,60,60,50,50,50,50,3,3,2,2,2,1,2,NA,0,0,1,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,31,25
1518,3,3,2,2,60,60,50,65,50,45,55,55,65,40,40,45,3,4,1,2,3,1,2,NA,0,0,0,0,1,0,0,0,3,NA,NA,1,1,2,2,6,1,4,4,4,1,24,13
1519,3,1,2,8,40,50,50,50,50,40,60,50,50,40,50,50,3,4,2,3,3,8,NA,8,0,0,0,0,0,0,0,1,2,NA,NA,2,NA,NA,NA,NA,1,2,1,2,2,57,14
1520,2,2,1,7,50,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,3,NA,NA,2,NA,NA,NA,NA,1,7,2,2,1,37,14
1521,1,2,2,8,30,40,0,0,0,0,0,50,0,0,0,0,3,3,3,4,4,2,2,NA,0,0,0,0,0,0,0,1,3,NA,NA,2,NA,NA,NA,NA,1,1,7,3,2,48,15
