ID,Female,Age,Temp_Ishin
1029,0,38,50
1030,1,58,NA
1031,1,47,10
1032,1,58,50
1033,1,63,60
1034,0,40,50
1035,1,42,20
1036,1,45,NA
1037,1,28,50
1038,1,69,50
1039,0,33,40
1040,1,73,40
1041,1,72,0
1042,0,46,70
1043,0,47,10
1044,0,27,NA
1045,1,50,20
1046,1,33,30
1047,0,25,50
1048,1,45,NA
1049,1,63,30
1050,0,38,30
1051,0,38,40
1052,1,33,20
1053,1,30,0
1054,0,48,50
1055,0,33,70
1056,1,71,50
1057,1,48,50
1058,1,29,40
1059,0,44,0
1060,1,26,70
1061,1,29,20
1062,1,58,NA
1063,0,43,0
1064,1,60,NA
1065,1,75,NA
1066,1,18,NA
1067,1,52,50
1068,1,45,80
1069,0,28,NA
1070,1,30,NA
1071,0,29,60
1072,1,30,50
1073,0,51,60
1074,0,52,80
1075,0,49,40
1076,1,62,0
1077,1,37,30
1078,1,35,NA
1079,1,22,40
1080,1,40,30
1081,1,34,40
1082,1,21,NA
1083,0,46,NA
1084,0,24,NA
1085,1,40,NA
1086,1,37,NA
1087,0,57,50
1088,1,53,50
1089,1,46,NA
1090,1,28,NA
1091,0,51,10
1092,0,28,30
1093,1,27,NA
1094,1,37,30
1095,1,68,40
1096,0,60,50
1097,0,63,30
1098,0,26,70
1099,1,51,70
1100,0,73,20
1101,0,25,0
1102,0,70,40
1103,0,61,0
1104,1,57,NA
1105,1,25,50
1106,1,62,NA
1107,1,40,50
1108,0,25,50
1109,1,24,40
1110,0,45,NA
1111,0,58,40
1112,1,29,NA
1113,0,28,50
1114,1,44,10
1115,0,45,30
1116,1,29,40
1117,0,41,70
1118,0,32,70
1119,1,36,50
1120,0,74,30
1121,0,37,60
1122,1,24,NA
1123,1,50,20
1124,0,62,50
1125,1,42,0
1126,0,25,NA
1127,1,69,60
1128,0,40,NA
1129,1,58,60
1130,0,48,20
1131,1,27,0
1132,1,52,50
1133,1,34,NA
1134,1,66,0
1135,0,31,40
1136,1,65,0
1137,0,29,0
1138,1,54,NA
1139,1,60,0
1140,1,48,NA
1141,1,52,50
1142,1,35,20
1143,1,52,50
1144,0,70,40
1145,1,70,20
1146,0,34,NA
1147,0,18,40
1148,1,51,0
1149,1,22,NA
1150,0,48,40
1151,1,33,NA
1152,1,21,NA
1153,1,39,NA
1154,1,62,0
1155,0,46,NA
1156,0,54,20
1157,1,34,NA
1158,1,28,70
1159,0,49,60
1160,1,44,80
1161,0,54,70
1162,1,73,80
1163,1,43,NA
1164,0,41,NA
1165,0,59,0
1166,0,37,90
1167,0,44,70
1168,0,31,50
1169,1,32,0
1170,1,34,50
1171,0,32,30
1172,1,24,70
1173,0,28,NA
1174,0,49,10
1175,1,40,20
1176,1,48,20
1177,0,25,NA
1178,0,54,80
1179,0,45,20
1180,1,48,30
1181,1,48,NA
1182,0,45,60
1183,1,62,NA
1184,1,42,20
1185,0,40,70
1186,1,53,NA
1187,0,51,NA
1188,0,52,0
1189,0,67,40
1190,0,48,40
1191,0,34,70
1192,1,51,70
1193,0,25,NA
1194,1,47,NA
1195,0,49,40
1196,1,24,50
1197,0,28,NA
1198,1,61,20
1199,0,53,40
1200,0,19,70
1201,0,29,20
1202,1,56,NA
1203,1,73,NA
1204,0,24,NA
1205,0,37,70
1206,0,55,70
1207,1,32,60
1208,1,28,40
1209,1,69,60
1210,0,27,NA
1211,1,51,0
1212,1,24,30
1213,0,48,80
1214,1,52,60
1215,0,64,60
1216,0,61,NA
1217,1,49,50
1218,0,24,30
1219,1,41,60
1220,0,47,60
1221,1,24,NA
1222,1,37,70
1223,0,34,50
1224,0,29,70
1225,0,59,60
1226,1,29,50
1227,1,29,50
1228,0,55,20
1229,0,47,50
1230,1,52,30
1231,1,27,60
1232,1,49,10
1233,1,54,30
1234,0,41,30
1235,0,21,50
1236,0,73,60
1237,0,32,10
1238,0,41,70
1239,0,33,NA
1240,0,48,60
1241,0,26,NA
1242,1,40,10
1243,1,34,NA
1244,0,39,30
1245,1,20,10
1246,0,46,50
1247,0,32,30
1248,0,60,30
1249,1,43,NA
1250,1,32,NA
1251,1,63,NA
1252,1,56,NA
1253,0,45,NA
1254,1,33,NA
1255,1,57,30
1256,1,22,NA
1257,0,54,NA
1258,0,26,100
1259,1,58,NA
1260,0,25,20
1261,1,49,100
1262,1,31,50
1263,1,25,50
1264,1,49,50
1265,0,42,10
1266,1,25,40
1267,0,28,NA
1268,1,33,NA
1269,0,28,0
1270,0,38,60
1271,1,72,70
1272,1,64,50
1273,1,62,NA
1274,1,34,90
1275,1,41,60
1276,0,42,60
1277,0,64,10
1278,0,25,30
1279,1,21,60
1280,0,28,60
1281,1,43,0
1282,0,38,40
1283,0,22,NA
1284,1,47,NA
1285,1,50,50
1286,0,54,60
1287,0,70,40
1288,0,44,50
1291,0,53,60
1292,0,33,60
1293,1,47,0
1294,0,53,50
1295,0,50,NA
1296,0,62,60
