fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
1,30,3,8,1,5,5,5,5,5,5
0,64,2,6,3,1,4,4,3,4,4
0,49,5,9,1,1,4,4,4,3,4
1,47,4,NA,1,2,4,4,5,4,4
0,26,2,6,1,4,5,4,3,2,4
1,45,4,8,1,1,4,4,4,4,4
0,29,5,1,1,1,3,3,3,2,3
1,70,5,3,3,1,2,4,4,3,4
0,49,5,10,2,4,3,4,4,3,4
0,21,5,3,1,4,5,4,5,5,4
0,28,NA,NA,1,1,1,1,1,1,1
0,59,6,15,3,4,4,4,4,4,5
1,55,2,2,1,5,3,4,4,4,5
1,29,3,9,1,2,3,4,4,4,4
0,28,1,4,1,5,4,4,5,4,4
0,39,5,8,1,2,1,4,3,2,2
1,35,4,13,2,3,4,1,4,3,1
0,76,5,8,3,1,4,4,5,4,4
1,71,2,4,2,1,4,4,4,3,4
0,51,1,7,3,3,3,4,4,4,3
1,68,2,1,3,1,3,3,3,3,4
0,73,5,8,3,3,3,4,4,4,4
1,73,5,NA,3,4,3,4,4,3,4
1,53,4,NA,3,3,3,3,3,3,3
1,39,5,7,1,3,4,4,4,3,2
1,27,6,8,1,3,2,4,3,3,3
0,67,5,1,3,4,4,5,5,5,4
1,61,3,4,1,2,2,3,2,2,4
0,55,6,16,2,4,3,4,4,4,4
1,71,2,3,1,2,2,3,4,2,3
1,33,2,3,1,4,4,4,4,4,4
0,51,1,10,1,3,3,3,3,3,3
1,44,5,2,2,3,3,2,2,2,3
0,26,5,11,1,4,4,5,5,4,4
0,34,5,11,2,5,4,2,4,4,3
0,71,5,8,2,4,2,3,3,2,4
0,29,4,7,1,4,3,4,4,3,2
1,63,2,4,3,6,3,4,5,4,3
1,50,4,7,1,2,4,4,5,3,3
1,75,5,6,1,2,1,4,3,2,5
1,54,4,6,2,4,3,3,3,3,3
1,76,4,2,3,1,4,4,4,4,4
0,26,6,9,1,4,3,4,4,3,3
0,58,5,13,2,3,4,4,4,4,3
0,40,5,11,1,5,4,4,4,4,3
0,45,5,8,1,3,4,4,4,4,4
1,63,2,1,3,2,3,4,4,3,4
0,60,3,10,2,5,3,4,4,2,4
0,60,2,6,2,3,3,3,3,3,3
0,73,2,7,3,1,3,4,4,3,3
1,70,5,NA,3,3,3,4,4,3,3
0,37,NA,NA,1,2,4,4,4,3,5
0,45,5,7,1,7,3,5,5,3,3
1,64,2,3,3,2,2,3,4,4,3
0,71,2,6,2,3,3,2,4,2,4
1,55,4,1,3,3,2,2,2,1,3
0,49,5,12,2,4,4,5,5,4,5
1,23,2,1,1,4,3,3,3,4,3
0,28,5,8,1,3,3,2,2,2,4
1,54,4,NA,1,1,1,1,1,1,1
0,75,5,NA,2,2,4,4,4,3,4
0,52,6,13,1,3,5,5,5,5,5
1,78,2,4,2,1,4,4,4,3,4
0,54,6,NA,1,2,2,4,4,2,3
1,66,4,4,3,1,2,4,3,3,3
0,30,NA,NA,1,7,3,2,1,3,5
1,38,5,7,2,1,4,3,2,3,2
0,54,2,1,1,3,3,3,3,3,3
0,59,2,7,1,2,1,1,1,1,3
0,77,6,8,3,2,4,3,4,4,5
0,22,5,6,1,4,4,4,4,4,4
0,50,3,12,1,4,1,4,4,4,4
0,22,6,1,1,3,1,2,3,1,4
0,45,6,12,2,4,4,3,4,3,3
0,62,4,7,3,2,2,2,2,2,3
1,77,2,4,3,2,3,4,4,4,4
0,53,5,7,1,4,3,4,5,4,4
1,23,5,NA,1,2,4,4,4,5,5
1,52,4,6,1,3,4,4,4,4,4
1,62,4,7,3,1,3,3,3,3,4
1,26,5,11,2,7,4,4,4,3,4
0,47,2,9,2,2,4,5,5,4,2
0,36,2,1,1,3,3,4,4,3,4
0,24,5,1,1,7,5,5,5,5,5
